category	kaomoji	description
─=≡Σ((( つ＞＜)つ	Running	
ε=ε=ε=ε=┌(;￣▽￣)┘	Running	
ε=ε=┌( >_<)┘	Running	
C= C= C= C=┌( `ー´)┘	Running	
ε===(っ≧ω≦)っ	Running	
ヽ(￣д￣;)ノ=3=3=3	Running	
。。。ミヽ(。＞＜)ノ	Running	
[(－－)]..zzZ	Sleeping	
(－_－) zzZ	Sleeping	
(∪｡∪)｡｡｡zzZ	Sleeping	
(－ω－) zzZ	Sleeping	
(￣o￣) zzZZzzZZ	Sleeping	
(( _ _ ))..zzzZZ	Sleeping	
(￣ρ￣)..zzZZ	Sleeping	
(－.－)...zzz	Sleeping	
(＿ ＿*) Z z z	Sleeping	
(x . x) ~~zzZ	Sleeping	
(=^･ω･^=)	Cat	
(=^･ｪ･^=)	Cat	
(=①ω①=)	Cat	
( =ω=)..nyaa	Cat	
(= ; ｪ ; =)	Cat	
(=`ω´=)	Cat	
(=^‥^=)	Cat	
( =ノωヽ=)	Cat	
(=⌒‿‿⌒=)	Cat	
(=^ ◡ ^=)	Cat	
(=^-ω-^=)	Cat	
ヾ(=`ω´=)ノ”	Cat	
(＾• ω •＾)	Cat	
(/ =ω=)/	Cat	
ฅ(•ㅅ•❀)ฅ	Cat	
ฅ(• ɪ •)ฅ	Cat	
ଲ(ⓛ ω ⓛ)ଲ	Cat	
(^=◕ᴥ◕=^)	Cat	
( =ω= )	Cat	
ଲ(ⓛ ω ⓛ)ଲ	Cat	
(^=◕ᴥ◕=^)	Cat	
( =ω= )	Cat	
(^˵◕ω◕˵^)	Cat	
(^◔ᴥ◔^)	Cat	
(^◕ᴥ◕^)	Cat	
ต(=ω=)ต	Cat	
( Φ ω Φ )	Cat	
ฅ(^◕ᴥ◕^)ฅ	Cat	
( ´(ｴ)ˋ )	Bear	
(*￣(ｴ)￣*)	Bear	
ヽ(￣(ｴ)￣)ﾉ	Bear	
(／￣(ｴ)￣)／	Bear	
(￣(ｴ)￣)	Bear	
ヽ( ˋ(ｴ)´ )ﾉ	Bear	
⊂(￣(ｴ)￣)⊃	Bear	
(／(ｴ)＼)	Bear	
⊂(´(ェ)ˋ)⊃	Bear	
(/-(ｴ)-＼)	Bear	
(/°(ｴ)°)/	Bear	
ʕ ᵔᴥᵔ ʔ	Bear	
ʕ •ᴥ• ʔ	Bear	
ʕ •̀ ω •́ ʔ	Bear	
ʕ •̀ o •́ ʔ	Bear	
ʕಠᴥಠʔ	Bear	
∪＾ェ＾∪	Dog	
∪･ω･∪	Dog	
∪￣-￣∪	Dog	
∪･ｪ･∪	Dog	
Ｕ^皿^Ｕ	Dog	
ＵＴｪＴＵ	Dog	
U^ｪ^U	Dog	
V●ᴥ●V	Dog	
U・ᴥ・U	Dog	
／(≧ x ≦)＼	Rabbit	
／(･ × ･)＼	Rabbit	
／(=´x`=)＼	Rabbit	
／(^ x ^)＼	Rabbit	
／(=･ x ･=)＼	Rabbit	
／(^ × ^)＼	Rabbit	
／(＞×＜)＼	Rabbit	
／(˃ᆺ˂)＼	Rabbit	
( ´(00)ˋ )	Pig	
(￣(ω)￣)	Pig	
ヽ( ˋ(00)´ )ノ	Pig	
( ´(oo)ˋ )	Pig	
＼(￣(oo)￣)／	Pig	
｡ﾟ(ﾟ´(00)`ﾟ)ﾟ｡	Pig	
(￣(00)￣)	Pig	
(ˆ(oo)ˆ)	Pig	
(￣Θ￣)	Bird	
(`･Θ･´)	Bird	
( ˋ Θ ´ )	Bird	
(◉Θ◉)	Bird	
＼( ˋ Θ ´ )／	Bird	
(･θ･)	Bird	
(・Θ・)	Bird	
ヾ(￣◇￣)ノ〃	Bird	
(･Θ･)	Bird	
(°)#))<<	Fish	
<・ )))><<	Fish	
ζ°)))彡	Fish	
>°))))彡	Fish	
(°))<<	Fish	
>^)))<～～	Fish	
≧( ° ° )≦	Fish	
/╲/\╭(ఠఠ益ఠఠ)╮/\╱\	Spider	
/╲/\╭(ರರ⌓ರರ)╮/\╱\	Spider	
